b251,b366,b679,b813,b1071,b1111,b1181,b1259,b1858,b1971,b3684,b3779,b4007,b4783,0
b155,b874,b980,b1442,b1920,b2216,b2527,b2916,b3086,b3121,b3281,b3649,b3956,b4025,0
b4459,b4558,b4655,b4753,b4762,b4853,b4976,b1380,b1909,b2713,b3167,b3384,b3500,b3700,0
b4043,b4402,b4619,b36,b208,b868,b1115,b1234,b1637,b1647,b1688,b1728,b1938,b2486,0
b3658,b3965,b4096,b4366,b4508,b627,b778,b794,b1295,b1390,b1418,b1532,b1887,b2339,0
b2343,b2476,b2478,b2563,b3104,b3546,b3611,b3797,b4068,b4347,b4563,b4695,b4811,b4816,0
b4908,b243,b543,b887,b1365,b1540,b1548,b1611,b1848,b2040,b2109,b2323,b2550,b2658,0
b2854,b2918,b4072,b4247,b4265,b4282,b4511,b4914,b74,b653,b788,b862,b930,b1102,0
b1207,b1906,b2637,b2932,b2953,b3263,b3759,b4196,b4269,b4354,b4965,b369,b487,b576,0
b770,b1386,b1488,b1553,b2182,b2396,b2423,b2498,b2500,b2715,b2727,b2847,b3009,b3208,0
b3304,b3348,b3503,b3636,b3761,b4153,b4515,b5,b12,b766,b966,b974,b977,b978,0
b986,b1038,b1434,b1545,b2242,b2538,b2859,b3043,b3106,b3204,b3242,b3476,b3938,b4250,0
b4524,b4534,b4575,b4702,b4832,b66,b94,b460,b885,b1099,b1100,b1409,b1988,b2074,0
b2697,b2955,b3195,b3632,b3803,b4088,b4616,b4814,b160,b403,b552,b843,b1432,b1479,0
b1575,b1750,b1917,b2126,b2150,b2458,b2547,b3160,b3513,b3969,b4118,b4548,b4797,b311,0
b414,b431,b466,b758,b963,b1042,b1124,b2282,b2448,b2881,b3381,b3706,b3733,b3792,0
b4166,b4591,b252,b591,b1273,b1307,b1433,b1473,b1552,b1886,b2388,b3457,b3529,b3554,0
b3777,b4485,b4656,b18,b123,b152,b205,b227,b477,b567,b836,b906,b1096,b1718,0
b1720,b2065,b2083,b2230,b2703,b2973,b3058,b3521,b3660,b3762,b4455,b4489,b4643,b4649,0
b4692,b237,b509,b786,b954,b1239,b1312,b1357,b1490,b1598,b1785,b2325,b3061,b3189,b3434,0
b3631,b4052,b4109,b4147,b4396,b4466,b4493,b4551,b247,b405,b480,b994,b1061,b1661,b1915,0
b2418,b2602,b2654,b2742,b3117,b3248,b3342,b4177,b4181,b4479,b4565,b4583,b4774,b4795,b4866,0
b4969,b249,b318,b452,b468,b755,b835,b1051,b1128,b1136,b1330,b1776,b1784,b2016,b2165,0
b2355,b2501,b2708,b2810,b2982,b3099,b3107,b3829,b3909,b4199,b4319,b4397,b267,b381,b462,0
b537,b700,b973,b1093,b1732,b2042,b2101,b2345,b2728,b2738,b2783,b3116,b3754,b3769,b3830,0
b3882,b3974,b4353,b4670,b4861,b4942,b13,b254,b308,b751,b1255,b1311,b1571,b1842,b1945,0
b2394,b2883,b2895,b2905,b3064,b3230,b3450,b3491,b3550,b3849,b3915,b4014,b4022,b4102,b4260,0
b4517,b4609,b4658,b4696,b4841,b4875,b703,b827,b1012,b1069,b1105,b1495,b1521,b1754,b1835,0
b1980,b2044,b2123,b2217,b2457,b2750,b2858,b3335,b3357,b4066,b4093,b4879,b134,b339,b1443,0
b1597,b1602,b1801,b2048,b2358,b2556,b2570,b3399,b3683,b3755,b3959,b4018,b4124,b4204,b4295,0
b4310,b4332,b4503,b4525,b4622,b4925,b42,b85,b280,b613,b1603,b1723,b1804,b2192,b2419,0
b2979,b3040,b3516,b4915,b378,b465,b724,b1046,b1195,b1396,b1403,b1475,b1584,b1965,b2027,0
b2178,b2195,b2688,b2717,b2730,b2760,b2871,b3347,b4012,b4137,b4160,b4211,b4233,b4234,b4393,0
b4714,b37,b52,b520,b909,b915,b1860,b1875,b2762,b3307,b3572,b3624,b3931,b4400,b4621,0
b368,b839,b1103,b1277,b1351,b2364,b2671,b2977,b3102,b3490,b3896,b4212,b4272,b4331,b4359,0
b4448,b4460,b4520,b4689,b4847,b4917,b272,b322,b626,b656,b676,b694,b774,b936,b1163,0
b1653,b2528,b2656,b2677,b2862,b2875,b2951,b3430,b3452,b3485,b3899,b3930,b4438,b4685,b4729,0
b150,b551,b1536,b1629,b1700,b1949,b1998,b2252,b2310,b2714,b3131,b3190,b3548,b3807,b4111,0
b4302,b4350,b4375,b4763,b4951,b190,b532,b600,b642,b942,b1047,b1231,b1366,b1696,b2846,0
b3108,b3176,b4365,b4715,b391,b496,b512,b657,b741,b917,b1348,b2210,b2219,b2278,b2376,0
b2665,b2682,b3059,b3118,b4065,b4315,b4677,b389,b808,b1522,b1643,b3984,b4003,b4084,b4140,0
b4243,b4348,b4505,b4800,b4824,b4973,b133,b338,b392,b1121,b1266,b1290,b1315,b1454,b1486,0
